[季調系列],,,,,,需    要    者    別    受    注    額,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：１００万円、％）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,受注額,,外需,官公需,民需,,,製造業,非製造業,,,代理店,内需,官          公          需          内          訳,,,,,製          造          業          内          訳          ,,,,,,,,,,,,,,,,,非          製          造          業          内           訳,,,,,,,,,,,,販売額,,受注残高,
,,,,合計,（船舶を除く）,,,,（船舶を除く）,（船舶・電力,,,（船舶を除く）,（船舶・電力,,,運輸業,防衛省,国家公務,地方公務,その他,食品製造業,繊維工業,パルプ・紙・紙加工品製造業,化学工業,石油製品・石炭製品製造業,窯業・土石製品,鉄鋼業,非鉄金属製造業,金属製品製造業,はん用・生産用機械器具製造業,業務用機械器具製造業,電気機械器具製造業,情報通信機械器具製造業,自動車・同付属品製造業,造船業,その他輸送用機械器具製造業,その他製造業(現行分類),農林漁業,鉱業・採石業・砂利採取業,建設業,電力業,運輸業・郵便業,通信業,卸売業・小売業,金融業・保険業,不動産業,情報サービス業,リース業,その他非製造業,総計,（船舶を除く）,総計,（船舶を除く）
,,,,,,,,,,を除く）,,,,を除く）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021年 7- 9月,,"7,875,739","7,422,509","3,837,182","828,837","2,871,716","2,847,733","2,541,367","1,241,207","1,625,376","1,608,356","1,324,013","363,272","3,650,340","11,914","205,562","148,024","246,912","175,723","24,302","9,042","11,262","117,377","10,981","15,438","34,595","46,962","32,875","268,211","45,807","237,381","62,280","103,724","49,798","35,388","153,948","101,733","4,943","173,864","306,970","199,671","140,713","133,429","178,324","15,039","138,006","26,998","228,533","7,150,200","6,789,418","29,774,731","27,833,409"
,,        10- 12月,,"8,577,774","8,045,841","4,016,089","856,541","3,295,330","3,176,113","2,673,652","1,317,752","1,998,037","1,858,013","1,352,848","371,920","4,148,821","14,834","229,843","111,259","278,686","249,963","29,781","8,923","15,122","71,643","14,791","16,567","35,137","55,835","30,863","286,279","58,775","285,869","66,428","105,159","61,454","37,567","137,469","111,586","5,752","188,851","500,609","338,261","130,624","119,546","185,576","18,625","157,875","27,876","207,248","7,306,200","7,050,424","30,764,993","28,718,231"
,,2022年 1- 3月,,"7,820,414","7,630,608","3,748,731","820,139","2,933,718","2,908,326","2,601,005","1,334,376","1,599,249","1,596,062","1,282,900","331,933","3,783,372","24,287","230,230","137,811","225,430","183,687","24,216","9,229","11,122","85,195","13,093","15,675","33,192","72,145","36,644","272,561","52,729","287,733","66,450","105,368","39,017","37,337","152,423","108,306","6,406","167,751","324,053","208,485","124,212","111,402","176,177","17,013","139,022","30,230","199,042","7,120,773","6,849,592","31,895,457","29,754,820"
,,          4- 6月,,"9,118,042","8,486,602","4,596,220","852,642","3,212,737","3,173,167","2,774,004","1,410,422","1,781,240","1,753,994","1,371,825","366,432","4,096,287","18,380","370,456","101,121","270,141","164,959","27,965","7,709","12,539","83,976","16,955","15,227","44,137","34,840","38,681","303,088","50,832","275,007","78,845","124,050","67,102","43,503","167,875","112,339","6,095","194,099","386,437","221,184","121,382","136,671","190,759","17,368","141,401","29,332","217,478","7,370,478","7,142,482","33,763,077","31,229,938"
,,          7- 9月,,"8,267,134","7,891,966","4,009,675","780,787","3,150,243","3,089,989","2,730,095","1,370,473","1,757,087","1,706,469","1,366,742","352,900","3,891,981","21,291","188,867","86,592","282,077","158,359","25,274","9,680","15,750","94,478","16,061","15,966","38,062","119,114","31,219","296,748","49,631","248,423","76,291","126,077","50,196","43,614","164,218","98,974","5,728","152,288","327,475","329,627","139,595","124,527","200,949","23,460","140,773","29,476","210,794","7,692,903","7,280,065","34,505,799","31,968,488"
