"","record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight"
"1",63,8,19,1977,3,"DM","M",35,40
"2",64,8,19,1977,7,"DM","M",37,48
"3",65,8,19,1977,4,"DM","F",34,29
"4",66,8,19,1977,4,"DM","F",35,46
"5",67,8,19,1977,7,"DM","M",35,36
"6",68,8,19,1977,8,"DO","F",32,52
"7",69,8,19,1977,2,"PF","M",15,8
"8",70,8,19,1977,3,"OX","F",21,22
"9",71,8,19,1977,7,"DM","F",36,35
"10",74,8,19,1977,8,"PF","M",12,7
"11",75,8,19,1977,8,"DM","F",32,22
"12",78,8,19,1977,1,"PF","M",16,9
"13",79,8,19,1977,7,"DM","F",34,42
"14",81,8,19,1977,4,"PF","F",14,8
"15",82,8,19,1977,4,"DM","F",35,41
"16",83,8,20,1977,6,"DM","F",37,37
"17",84,8,20,1977,19,"DM","F",35,43
"18",85,8,20,1977,23,"DM","F",35,41
"19",86,8,20,1977,18,"DM","F",33,40
"20",87,8,20,1977,5,"PF","F",11,9
"21",88,8,20,1977,18,"DM","F",35,45
"22",89,8,20,1977,12,"PP","F",20,15
"23",90,8,20,1977,18,"DM","M",35,29
"24",92,8,20,1977,6,"DM","M",35,39
"25",94,8,20,1977,18,"DM","F",36,43
"26",95,8,20,1977,23,"DM","M",38,46
"27",96,8,20,1977,12,"DM","M",36,41
"28",97,8,20,1977,18,"DM","M",36,41
"29",98,8,20,1977,5,"DM","M",38,40
"30",99,8,20,1977,11,"DM","M",37,45
"31",101,8,20,1977,5,"DM","F",35,46
"32",102,8,20,1977,23,"DM","F",35,40
"33",103,8,20,1977,18,"DM","F",35,30
"34",105,8,20,1977,19,"DM","M",35,39
"35",109,8,20,1977,6,"DM","M",35,34
"36",111,8,20,1977,11,"DM","F",37,42
"37",112,8,20,1977,23,"DM","M",37,42
"38",113,8,20,1977,5,"PF","F",13,8
"39",116,8,21,1977,13,"DM","F",37,31
"40",146,8,21,1977,13,"DM","F",36,40
"41",157,9,11,1977,20,"DM","M",36,37
"42",158,9,11,1977,22,"DM","M",36,48
"43",161,9,11,1977,5,"DM","M",37,42
"44",162,9,11,1977,6,"DM","F",39,45
"45",163,9,11,1977,12,"PP","F",21,16
"46",164,9,11,1977,22,"DM","F",36,36
"47",167,9,11,1977,6,"DM","M",36,42
"48",168,9,11,1977,12,"DM","M",36,44
"49",170,9,11,1977,20,"DM","F",36,41
"50",173,9,11,1977,12,"DM","F",36,40
"51",174,9,11,1977,12,"DM","M",37,34
"52",175,9,11,1977,19,"DM","M",33,40
"53",178,9,11,1977,18,"DM","M",33,44
"54",179,9,11,1977,12,"DM","M",37,44
"55",180,9,11,1977,6,"DM","M",34,36
"56",181,9,11,1977,20,"DM","M",35,33
"57",183,9,11,1977,5,"DM","F",37,46
"58",186,9,11,1977,19,"DM","F",34,35
"59",187,9,12,1977,17,"DM","M",36,46
"60",189,9,12,1977,17,"DM","F",33,37
"61",190,9,12,1977,7,"DM","M",36,34
"62",192,9,12,1977,4,"DM","F",36,45
"63",196,9,12,1977,7,"PF","F",15,7
"64",197,9,12,1977,14,"DM","M",37,51
"65",198,9,12,1977,4,"DM","M",35,39
"66",199,9,12,1977,11,"DM","M",36,29
"67",202,9,12,1977,17,"DM","F",32,48
"68",203,9,12,1977,11,"DM","M",38,46
"69",204,9,12,1977,16,"DM","F",37,41
"70",208,9,12,1977,14,"DM","M",37,45
"71",209,9,12,1977,17,"DM","F",35,42
"72",210,9,12,1977,11,"DM","F",36,53
"73",213,9,12,1977,14,"DM","F",35,49
"74",215,9,12,1977,14,"DM","F",36,46
"75",216,9,12,1977,4,"PF","F",13,9
"76",217,9,13,1977,3,"PP","F",19,15
"77",218,9,13,1977,1,"PF","M",13,4
"78",219,9,13,1977,13,"DM","M",36,48
"79",226,9,13,1977,2,"DM","M",37,51
"80",228,9,13,1977,9,"DM","M",38,50
"81",229,9,13,1977,13,"DM","M",35,44
"82",233,9,13,1977,2,"DM","M",25,44
"83",234,9,13,1977,9,"DM","M",35,45
"84",235,9,13,1977,13,"DM","F",37,45
"85",238,9,13,1977,2,"PE","M",20,19
"86",242,9,13,1977,2,"OX","M",19,22
"87",243,10,16,1977,6,"DM","F",38,44
"88",244,10,16,1977,22,"DM","F",36,42
"89",245,10,16,1977,2,"DM","M",37,39
"90",246,10,16,1977,13,"DM","M",37,47
"91",249,10,16,1977,13,"DM","M",36,42
"92",251,10,16,1977,2,"DM","M",36,49
"93",253,10,16,1977,20,"DM","M",38,39
"94",254,10,16,1977,20,"DM","F",36,43
"95",255,10,16,1977,18,"DM","M",35,50
"96",256,10,16,1977,6,"DM","M",36,41
"97",257,10,16,1977,2,"DM","M",37,47
"98",258,10,16,1977,18,"DM","F",36,37
"99",259,10,16,1977,2,"DM","M",36,41
"100",260,10,16,1977,22,"DM","F",36,36
"101",261,10,16,1977,6,"DM","M",36,45
"102",262,10,16,1977,20,"PE","M",19,20
"103",263,10,16,1977,1,"DM","M",37,40
"104",265,10,16,1977,9,"DM","M",38,49
"105",268,10,16,1977,2,"DM","F",36,55
"106",269,10,16,1977,6,"DM","M",37,46
"107",270,10,16,1977,1,"DM","F",36,38
"108",273,10,16,1977,9,"DM","M",37,44
"109",274,10,16,1977,2,"OL","F",20,21
"110",275,10,16,1977,20,"DM","M",37,41
"111",277,10,16,1977,6,"OL","",20,21
"112",280,10,16,1977,18,"DM","M",37,46
"113",283,10,16,1977,6,"DM","M",34,36
"114",284,10,16,1977,13,"DM","M",37,44
"115",285,10,16,1977,1,"DM","M",36,53
"116",287,10,17,1977,17,"DM","M",38,41
"117",288,10,17,1977,17,"DM","M",37,48
"118",289,10,17,1977,14,"DM","M",38,47
"119",292,10,17,1977,3,"DO","F",36,33
"120",293,10,17,1977,4,"DM","F",36,42
"121",294,10,17,1977,3,"DO","F",37,50
"122",295,10,17,1977,11,"DM","M",36,41
"123",296,10,17,1977,17,"OT","",18,21
"124",298,10,17,1977,19,"DM","M",36,49
"125",302,10,17,1977,19,"DM","F",36,44
"126",303,10,17,1977,3,"DM","M",36,31
"127",304,10,17,1977,21,"DM","M",37,40
"128",305,10,17,1977,14,"DM","F",35,40
"129",306,10,17,1977,16,"DM","M",33,23
"130",307,10,17,1977,19,"DM","M",36,42
"131",311,10,17,1977,19,"RM","M",18,13
"132",312,10,17,1977,11,"DM","F",36,42
"133",313,10,17,1977,19,"DM","M",35,31
"134",315,10,17,1977,3,"DM","M",36,39
"135",316,10,17,1977,15,"DM","M",37,48
"136",317,10,17,1977,17,"DO","F",32,48
"137",318,10,17,1977,17,"DM","M",33,29
"138",319,10,17,1977,14,"DM","M",36,45
"139",320,10,17,1977,17,"DM","F",35,39
"140",323,10,17,1977,17,"DO","F",33,31
"141",330,10,18,1977,5,"DM","M",37,43
"142",332,10,18,1977,12,"PF","M",16,8
"143",334,10,18,1977,5,"DM","F",37,45
"144",336,10,18,1977,12,"DM","M",36,40
"145",337,10,18,1977,8,"DO","F",35,41
"146",338,10,18,1977,12,"DM","M",37,41
"147",340,10,18,1977,12,"DM","F",36,39
"148",342,10,18,1977,16,"DM","M",34,25
"149",345,11,12,1977,22,"DM","F",34,45
"150",346,11,12,1977,2,"DM","F",37,36
"151",347,11,12,1977,6,"DM","F",38,40
"152",348,11,12,1977,13,"DM","M",36,44
"153",350,11,12,1977,2,"DM","M",37,47
"154",352,11,12,1977,1,"DM","M",36,40
"155",354,11,12,1977,2,"DM","M",38,44
"156",356,11,12,1977,1,"DO","F",32,44
"157",357,11,12,1977,9,"DS","F",50,117
"158",358,11,12,1977,13,"PF","F",16,7
"159",359,11,12,1977,18,"DM","M",36,40
"160",360,11,12,1977,20,"DM","F",35,39
"161",361,11,12,1977,2,"DM","F",36,40
"162",362,11,12,1977,1,"DS","F",51,121
"163",364,11,12,1977,9,"DM","M",37,46
"164",365,11,12,1977,1,"DM","F",38,35
"165",367,11,12,1977,20,"DS","M",51,115
"166",368,11,12,1977,9,"PF","F",16,7
"167",369,11,12,1977,20,"DM","F",36,39
"168",370,11,12,1977,9,"DM","M",35,40
"169",371,11,12,1977,13,"DM","M",36,40
"170",372,11,12,1977,22,"DM","F",36,35
"171",373,11,12,1977,6,"DM","M",34,36
"172",374,11,12,1977,18,"DM","M",37,44
"173",375,11,12,1977,9,"PF","F",15,6
"174",376,11,12,1977,1,"PF","F",15,7
"175",377,11,12,1977,9,"DS","F",48,120
"176",378,11,12,1977,1,"DO","M",33,48
"177",379,11,13,1977,14,"DM","M",36,44
"178",380,11,13,1977,17,"DM","F",33,38
"179",381,11,13,1977,17,"DS","F",48,118
"180",382,11,13,1977,17,"DM","M",37,40
"181",383,11,13,1977,11,"DS","F",52,126
"182",384,11,13,1977,11,"DM","M",36,37
"183",385,11,13,1977,17,"DS","M",50,132
"184",388,11,13,1977,11,"DM","F",36,39
"185",391,11,13,1977,11,"PF","M",15,7
"186",392,11,13,1977,11,"DS","F",53,122
"187",394,11,13,1977,4,"DS","F",48,107
"188",395,11,13,1977,14,"DM","M",36,43
"189",396,11,13,1977,14,"DM","F",36,40
"190",397,11,13,1977,17,"RM","F",16,7
"191",398,11,13,1977,4,"DS","F",50,115
"192",399,11,13,1977,17,"DM","F",36,39
"193",404,11,14,1977,12,"DM","M",37,40
"194",407,11,14,1977,5,"DS","F",50,116
"195",408,11,14,1977,8,"PF","F",9,6
"196",409,11,14,1977,12,"DM","F",36,38
"197",410,11,14,1977,5,"DS","M",53,137
"198",411,11,14,1977,5,"DM","M",36,42
"199",412,11,14,1977,5,"DS","M",52,126
"200",413,11,14,1977,8,"DS","F",49,112
"201",414,11,14,1977,8,"DO","F",34,39
"202",415,11,14,1977,5,"DM","F",36,41
"203",420,12,10,1977,13,"DM","F",38,48
"204",421,12,10,1977,9,"DS","F",51,121
"205",422,12,10,1977,2,"DM","F",37,42
"206",423,12,10,1977,13,"DM","M",36,42
"207",424,12,10,1977,2,"DM","M",37,52
"208",425,12,10,1977,20,"DM","F",36,38
"209",426,12,10,1977,22,"DM","M",36,45
"210",427,12,10,1977,2,"DM","F",37,37
"211",428,12,10,1977,9,"DO","F",33,40
"212",430,12,10,1977,9,"PF","F",15,7
"213",433,12,10,1977,9,"DM","M",38,44
"214",434,12,10,1977,13,"PF","F",16,7
"215",436,12,10,1977,18,"DM","F",37,33
"216",437,12,10,1977,18,"DM","F",37,38
"217",438,12,10,1977,2,"DM","M",36,47
"218",439,12,10,1977,20,"DM","F",36,39
"219",440,12,10,1977,1,"PF","F",16,7
"220",443,12,10,1977,13,"DM","M",35,42
"221",444,12,10,1977,6,"DM","M",38,36
"222",447,12,10,1977,18,"DM","M",37,44
"223",448,12,10,1977,20,"DS","M",51,116
"224",449,12,10,1977,2,"DM","M",35,43
"225",450,12,10,1977,1,"DO","M",33,45
"226",451,12,10,1977,9,"DS","F",51,116
"227",453,12,10,1977,9,"DM","M",36,42
